alpha_news_amount,amount_news_ceo,analyst_target_price,beta,close,cpi,currency_exchange_rate,day_moving_average_200,day_moving_average_50,diluted_eps_ttm,eps,ev_to_ebitda,ev_to_revenue,forward_pe,high,low,market_capitalization,mean_price,news_sentiment_mean,open,pe_ratio,peg_ratio,price_change_1,price_change_3,price_to_book_ratio,price_to_sales_ratio_ttm,real_gdp,retail_sales,sentiment_ceo,sentiment_name,trailing_pe,volume,week_high_52,week_low_52,weekday,target
7,0,564.69,1.324,610.99,307.671,149.096,458.13,544.87,11.09,11.8,22.68,9.13,22.22,615.565,607.0301,278962307000,611.0537750000001,0.1912229999999999,610.63,55.25,1.481,1.0030800136249287,1.0155456213871374,10.99,8.89,5633.594,608839.0,0.4979321360588074,0.3325651486714681,55.25,1906155,615.57,318.6,1,1.2488671721240685
6,0,565.27,1.324,619.72,307.671,149.208,460.48,547.21,11.12,11.8,22.68,9.13,22.22,624.38,614.0101,278183739000,618.685025,0.2334406666666667,616.63,54.95,1.481,1.0124886717212407,1.028228437270585,10.99,8.89,5633.594,608839.0,0.0,0.0,54.95,2064968,624.38,318.6,2,0.0
3,0,563.26,1.324,619.72,307.671,149.589,460.48,547.21,11.09,11.8,22.68,9.13,22.22,624.38,614.0101,282158498000,618.685025,0.223516,616.63,55.88,1.481,1.0,1.0156071506252282,10.99,8.89,5633.594,608839.0,0.0,0.0,55.88,2064968,624.38,318.6,3,-0.24285782575713677
6,0,616.54,1.324,619.43,307.671,149.396,461.66,548.53,11.09,11.8,22.68,9.13,22.22,619.44,613.6,282158498000,617.1825,0.2839421666666666,616.26,55.88,1.481,0.9975714217424286,1.0100297637470612,10.99,8.89,5633.594,608839.0,0.0,0.0,55.88,942673,624.38,318.6,4,0.0
4,0,616.54,1.324,619.43,307.671,149.396,461.66,548.53,11.15,11.8,22.68,9.13,22.22,619.44,613.6,282026476000,617.1825,0.140199,616.26,55.55,1.481,1.0,0.9975714217424286,10.99,8.89,5633.594,608839.0,0.0,0.0,55.55,942673,624.38,318.6,5,0.0
3,0,565.31,1.324,619.43,307.671,149.298,462.86,549.88,11.15,11.8,22.68,9.13,22.22,619.44,613.6,282026476000,617.1825,0.1962536666666666,616.26,55.55,1.481,1.0,0.9975714217424286,10.99,8.89,5633.594,608839.0,0.0,0.2161436751484871,55.55,942673,624.38,318.6,6,0.3947009190960582
10,0,565.31,1.324,619.27,307.671,148.534,462.86,549.88,11.15,11.8,22.68,9.13,22.22,625.8341,614.57,282026476000,619.618525,0.231163,618.8,55.55,1.481,1.0039470091909606,1.0039470091909606,10.99,8.89,5633.594,608839.0,0.0,0.0,55.55,1854409,625.83,318.6,0,-0.13391707421915866
5,0,563.02,1.324,623.32,307.671,147.455,464.08,551.69,11.15,11.8,22.68,9.13,22.22,625.6,612.26,281953632000,618.78875,0.1238278,613.975,55.54,1.481,0.9986608292578084,1.0026025527295412,10.99,8.89,5633.594,608839.0,0.0,0.0,55.54,2302913,625.83,318.6,1,0.5472384557734689
6,0,616.54,1.324,617.39,307.671,147.553,464.08,551.69,11.1,11.8,37.45,14.85,34.72,628.6,616.77,283797586000,622.175,0.1873416666666666,625.94,56.16,2.314,1.0054723845577347,1.0080891794566436,17.99,15.03,5640.366,608839.0,0.0,0.0,56.16,2595632,628.6,318.6,2,-1.2512556756539284
2,0,562.62,1.324,611.01,307.671,147.85,466.55,555.02,11.11,11.8,37.09,14.7,34.36,621.48,605.07,281097667000,614.3900000000001,0.322454,620.0,55.57,2.292,0.9874874432434607,0.9915617032269978,17.82,14.88,5640.366,608839.0,0.0,-0.1308696667353312,55.57,3960309,628.6,318.6,3,-0.7108676899038158
5,0,560.19,1.324,612.47,307.671,146.836,467.72,556.52,11.12,11.8,37.09,14.7,34.36,615.2,603.18,278192849000,610.0225,0.1133059999999999,609.24,54.95,2.292,0.9928913231009618,0.9858332104454064,17.82,14.88,5640.366,608839.0,0.0,0.0,54.95,2490500,628.6,318.6,4,0.0
4,0,561.83,1.324,612.47,307.671,146.836,467.72,556.52,11.14,11.8,37.09,14.7,34.36,615.2,603.18,278857581000,610.0225,0.19662825,609.24,54.98,2.292,1.0,0.9804677140675856,17.82,14.88,5640.366,608839.0,0.0,0.4999706745147705,54.98,2490500,628.6,318.6,5,0.0
3,0,616.54,1.324,612.47,307.671,146.72,468.9,558.49,11.14,11.8,36.79,14.58,34.13,615.2,603.18,278857581000,610.0225,0.1044776666666666,609.24,54.98,2.273,1.0,0.9928913231009618,17.67,14.77,5640.366,608839.0,0.0,0.0,54.98,2490500,628.6,318.6,6,-1.0704523193816762
3,0,616.54,1.335,604.56,307.671,147.068,468.9,558.49,11.14,11.8,36.79,14.58,34.13,608.29,596.21,278912074000,603.4925,0.1337686666666666,604.91,54.98,2.273,0.9892954768061832,0.9892954768061832,17.67,14.77,5640.366,608839.0,0.0,0.0,54.98,2541501,628.6,318.6,0,-0.8728360335878094
8,0,616.54,1.335,602.22,307.671,147.323,468.9,558.49,11.13,11.8,36.79,14.58,34.13,602.74,591.17,275256181000,598.225,0.185054625,596.77,54.32,2.273,0.9912716396641219,0.9806605494059645,17.67,14.77,5640.366,608839.0,0.0,0.0548694431781768,54.32,2577716,628.6,318.6,1,0.5799197626310981
5,0,617.96,1.335,595.7,307.671,144.807,470.1,560.33,11.08,11.8,36.17,14.34,33.56,608.5302,594.4867,275347014000,601.694225,0.2666423999999999,608.06,54.35,2.235,1.005799197626311,0.9863475937362964,17.38,14.58,5640.366,608839.0,0.0,0.0,54.35,2046433,628.6,318.6,2,0.27518545653315574
