Date,Description,Linear Regression,Decision Tree,Random Forest,Gradient Boosting,KNN,Neural Network,SVR
2024-04-21,All Values non numeric or with less then 5 Values are out,6.456108662374288,11.939724607609067,7.823522996274019,7.58380115478014,9.178383248626226,7.764083726441103,12.101225512
2024-04-21,Data normalized with Z-Score,6.456108275232978,9.369949009194409,7.315984893795917,7.565345141785727,8.81305508990197,11.53842054131757,7.981104540367493
2024-04-21,linear interpolation for all the values that are not going on the weekend,5.613911696909461,7.096279315834535,6.971383552417315,6.31774811654854,7.7881025284247025,11.51457408231739,7.130857368132128
2024-04-22,used mean price for next day percentage calculation instead of closing price,4.75706183366147,6.270839154327976,6.59329502499041,6.438137980554557,6.645772788705553,6.133657582256345,6.665141655135487
2024-04-22,added weekday from 0-6 for monday to sunday,4.804518119057321,6.47832468012498,6.88306000269672,6.2366614674114675,6.759133775449458,5.609411291286115,6.553056865192569
2024-04-22,added the price change to the day before,4.772953066894258,7.160613308064794,6.106208297845119,6.400293706228824,6.640983518660975,5.859425068621909,6.681242933068003
2024-04-22,added price change to 3 days before,4.847996898175002,7.257745793178032,6.1958161697312875,6.210686689773579,6.558188011093304,5.143361181935555,6.567795231463721
2024-04-22,Used Finbet to translate the ceo and company news into sentiment score for every day,4.8221751113215845,7.756210964855463,6.160786977078771,6.3086626000696935,6.580703692502549,4.8605846814865075,6.623409699922253
2024-04-29,used standart scaler from sklearn instead of zscore,4.7769226103681826,7.591953957867866,6.303628016727745,6.064733566286582,6.5633421042006495,5.563987672269712,6.636975256567534
2024-04-29,added pca with automatic dimension reduction,4.77692261036818,6.6254436870997235,5.899521838685215,5.891538598671473,6.567189099534148,5.221923554189361,6.597872168531442
2024-04-30,nth,4.77692261036818,6.841431070676657,5.568197110558352,5.9037956197910715,6.544867780069771,5.034217472752677,6.602450907033389
2024-05-13,nothing,12.235384117645031,3.558852922118047,0.73643293596452,1.8925442967076838,1.7295208503225905,27.66148606202758,1.0932351552141213
2024-05-14,nix,8.558336953880204,3.545577360954701,0.8980857671168581,0.9757969507278791,1.770840491934378,5.956519166889881,1.4284604012426478
2024-05-14,nix,8.42602406206786,29.93389853421401,0.9848696757936836,1.4661059945039394,1.6277986814242111,4.915387133731242,1.4387605161737782
2024-05-15,nix,2.879227954531282,7.657943187876691,3.6070444617183544,3.110205183314021,4.473037210468138,5.3066074783726895,4.485314905663727
2024-05-15,nix,2.9109702656200787,1.528203182066136,3.65518632034113,3.3058618494019965,4.462328662767363,8.826078273343846,4.480394876305207
2024-05-16,nix,3.6743748769422515,4.751825296571943,4.033830283987563,4.01184120014688,4.619927464880632,3.7813943905672796,4.834198073974687
2024-06-05,nix,3.6347368806320564,5.922579491962594,3.885499094302107,4.0716304539838415,4.69698835487709,3.9488363522056362,4.870987975703409
