Date,Description,Linear Regression,Decision Tree,Random Forest,Gradient Boosting,KNN,Neural Network,SVR
2024-04-21,All Values non numeric or with less then 5 Values are out,0.06784936804991093,-0.2676455539938105,-0.02612877026454008,-0.01028557323645285,-0.11143425190558065,-0.022223328016533817,-0.3242555665
2024-04-21,Data normalized with Z-Score,0.06784939599817219,-0.12297295318995327,0.007713500348003777,-0.009055503955316402,-0.08909038799867042,-0.24616016526415274,-0.03641140244170882
2024-04-21,linear interpolation for all the values that are not going on the weekend,0.08552268878533031,-0.02814767297036047,-0.019059718166482886,0.029889288927912427,-0.07709987713619104,-0.3096766522329395,-0.0306495573977017
2024-04-22,used mean price for next day percentage calculation instead of closing price,0.09062438760105362,-0.044087113414358337,-0.07059487354098115,-0.05792296547172682,-0.0748470020007479,-0.03260368023613913,-0.07641216394635886
2024-04-22,added weekday from 0-6 for monday to sunday,0.08609969421226571,-0.061219593724485044,-0.09386740795423387,-0.04123795423847709,-0.08397539882965077,0.01251036224432811,-0.0673230121257753
2024-04-22,added the price change to the day before,0.08910674373859484,-0.11570406528902022,-0.030290540454826598,-0.054809073273407005,-0.07445963844842751,-0.009256156396342696,-0.07771154794721524
2024-04-22,added price change to 3 days before,0.0819738093326462,-0.12324574270393085,-0.03782270254648612,-0.03906739040071705,-0.06774079565540769,0.05442187589736169,-0.06852258683456203
2024-04-22,Used Finbet to translate the ceo and company news into sentiment score for every day,0.0844219055700175,-0.16117776594777755,-0.03488478284365937,-0.04723115852487014,-0.069572118001753,0.08078275831522108,-0.07303704288151502
2024-04-29,used standart scaler from sklearn instead of zscore,0.08872803910394544,-0.1488165611600647,-0.046813207431668946,-0.026785596908652565,-0.06816028306867894,0.01651671221293982,-0.07413533664365435
2024-04-29,added pca with automatic dimension reduction,0.08872803910394567,-0.07320179005488092,-0.012703501119253335,-0.012018073365388737,-0.06847327952684035,0.04722761809973408,-0.07096641889358835
2024-04-30,nth,0.08872803910394567,-0.09055452149910326,0.016144755108213338,-0.01307025029370168,-0.06665590885501915,0.06450840220698395,-0.07133796479452492
2024-05-13,nothing,-1.9901369059876242,-0.61263948559874,0.2664176544827176,-0.17599451443513092,-0.12420411406109988,-3.495934994773088,0.10620264795261991
2024-05-14,nix,-1.4305911228582646,-0.5644464410157131,0.2126349672783513,0.1792763559436088,-0.10562267953578153,-1.0277456974701065,0.006995264430184944
2024-05-14,nix,-1.411729325757904,-3.545679981525531,0.17546973832310964,-0.006004449326590278,-0.060028551403433106,-0.842027378600338,0.003421594712632481
2024-05-15,nix,0.17803076752577363,-0.3405209526456203,0.07998844014915929,0.1456967533436665,-0.02451611020928013,-0.11590190451591376,-0.02592120435278078
2024-05-15,nix,0.17351224972044965,0.4011637442408924,0.07386926682830808,0.11923532749542254,-0.023289018499338843,-0.43913462993747365,-0.025358373481009222
2024-05-16,nix,0.09708437802448022,-0.026799546588042844,0.05394965878878544,0.056531721765789134,-0.012448669783752031,0.08402963381609296,-0.03566108071303398
2024-06-05,nix,0.10196776821073694,-0.14633323767412465,0.07150655582378496,0.04952737592322998,-0.020857625906832933,0.0639694925384312,-0.03959447889769807
